prompt_id,prompt_text,prompt_generation_mode,prompt_framing,split,pair_id,pair_role,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,amount_bucket,risk_context,emotion_context,confound_axis,behavior_target,asks_for_behavior,expected_output_format,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,expected_direction,notes
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p1__paper_open,"Read the following short scenario.

Scenario:
Alex invested $5,000 in a promising tech stock last year. The shares have risen steadily, now valued at $8,000 in his portfolio. He monitors the market closely but keeps the position open for potential further growth.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p1,paper_open,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,p1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired stock investment gain; held vs sold, neutral tone, ~45 words each."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p1__realized_closed,"Read the following short scenario.

Scenario:
Alex invested $5,000 in a promising tech stock last year. The shares rose steadily to a value of $8,000, which he realized by selling the position today and receiving the full amount in his account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p1,realized_closed,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,p1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired stock investment gain; held vs sold, neutral tone, ~45 words each."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p2__paper_open,"Read the following short scenario.

Scenario:
Jordan purchased $10,000 worth of renewable energy bonds six months ago. Interest rates have favored them, increasing the portfolio value to $11,500. Jordan holds the bonds, awaiting maturity or market shifts.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p2,paper_open,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,p2_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired bond investment gain; held vs redeemed, neutral, varied actor and details, ~45 words each."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p2__realized_closed,"Read the following short scenario.

Scenario:
Jordan purchased $10,000 worth of renewable energy bonds six months ago. Interest rates favored them, boosting value to $11,500, which Jordan realized by redeeming the bonds today and depositing the proceeds.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__p2,realized_closed,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,p2_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired bond investment gain; held vs redeemed, neutral, varied actor and details, ~45 words each."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p1__paper_open,"Read the following short scenario.

Scenario:
Alex purchased shares in a technology company six months ago. The investment has appreciated, showing a current paper gain of $8,000 if sold today. Alex continues to hold the position, monitoring market trends without any immediate plans to act.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p1,paper_open,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,p1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,Paired stock investment scenario with held vs. sold framing for neutral gain realization contrast.
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p1__realized_closed,"Read the following short scenario.

Scenario:
Alex purchased shares in a technology company six months ago. The investment has appreciated, and Alex sold the position, receiving a realized gain of $8,000. The transaction has been completed and the funds deposited into Alex's account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p1,realized_closed,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,p1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,Paired stock investment scenario with held vs. sold framing for neutral gain realization contrast.
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p2__paper_open,"Read the following short scenario.

Scenario:
Jordan invested in a mutual fund last year. The fund's value has increased, reflecting an unrealized profit of $12,000 based on the latest valuation. Jordan maintains the investment, reviewing performance reports periodically.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p2,paper_open,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,p2_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired mutual fund scenario with held vs. redeemed framing for neutral gain realization contrast, varying from pair 1."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p2__realized_closed,"Read the following short scenario.

Scenario:
Jordan invested in a mutual fund last year. The fund's value has increased, and Jordan redeemed the shares, securing a realized profit of $12,000. The redemption has been processed and the proceeds transferred to Jordan's portfolio.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__p2,realized_closed,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,p2_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Paired mutual fund scenario with held vs. redeemed framing for neutral gain realization contrast, varying from pair 1."
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__paper_open,"Read the following short scenario.

Scenario:
Alex purchased shares in a technology company six months ago for $10,000. The investment has appreciated, showing a current market value of $15,000 in his brokerage account. He reviews the portfolio daily, noting the unrealized profit while deciding on future steps.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,paper_open,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,Matched pair contrasts held portfolio value vs. sold and received proceeds; neutral tone preserved.
realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__realized_closed,"Read the following short scenario.

Scenario:
Alex purchased shares in a technology company six months ago for $10,000. The investment has appreciated, and he sold the shares today for $15,000, receiving the proceeds in his brokerage account. He reviews the transaction confirmation, noting the realized profit from the sale.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,realized_closed,realization_pair,openrouter_generated,grok_fast,x-ai/grok-4-fast,direction_realization_money,realization_vector_generation_v1__grok_fast__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,Matched pair contrasts held portfolio value vs. sold and received proceeds; neutral tone preserved.
