prompt_id,prompt_text,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,behavior_target,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,notes
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__positive_1,"Read the following short scenario.

Scenario:
After choosing a cheaper apartment across town, he now spends two crowded hours commuting each day. While standing on another delayed train, his attention keeps circling back to the unit he passed on near the office, picturing the extra rent against the evenings he keeps losing.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,positive_1,0.85,7,emotion,"Implicit medium-intensity regret via counterfactual focus on a past choice; non-casino, no explicit emotion labels, neutral risk."
final_inference_prompt_generation_v1__codex__general_emotion_matched_control__regret__neutral__none__none__matched__control__matched_control_1,"Read the following short scenario.

Scenario:
After comparing several apartments online, he signed a lease for a unit near his office. A week later, while sorting utility forms and moving boxes, he noticed another listing in the same building with a larger kitchen and a similar monthly rent, then returned to setting up his new place.

Do not answer yet. Continue processing the scenario.",final_general_emotion_control,openrouter_generated,codex,openai/gpt-5.4,general_emotion_matched_control,final_inference_prompt_generation_v1__codex__general_emotion_matched_control__regret__neutral__none__none__matched__control,general,emotion_control,regret,none,neutral,none,none,none,none,none,matched,control,matched_control_1,0.85,7,none,"Non-casino matched control for regret-like setting: choice between similar options with a later comparison, but no counterfactual fixation or explicit emotion language."
final_inference_prompt_generation_v1__codex__general_neutral_baseline__none__neutral__none__none__factual_description__baseline__baseline_routine_review,"Read the following short scenario.

Scenario:
A staff member receives three vendor invoices, checks each total against a spreadsheet, notes one date mismatch, and updates the record after confirming the order number. The remaining forms are filed in the usual folder, and the desk is cleared before the next task on the schedule.

Do not answer yet. Continue processing the scenario.",final_general_neutral,openrouter_generated,codex,openai/gpt-5.4,general_neutral_baseline,final_inference_prompt_generation_v1__codex__general_neutral_baseline__none__neutral__none__none__factual_description__baseline,general,neutral,,none,neutral,none,none,none,none,none,factual_description,baseline,baseline_routine_review,0.85,7,neutral_text,"Emotionally flat workplace procedure with routine verification and no casino, urgency, reward, or loss framing."
final_inference_prompt_generation_v1__codex__general_risk_isolated__none__risk_seeking__none__none__none__positive__general_risk_isolated_1,"Read the following short scenario.

Scenario:
At a product meeting, Jordan can either launch a familiar update with steady but limited upside or devote the quarter to an untested feature that could reshape the market if it works. With no recent setback pushing the choice, Jordan keeps returning to the bigger swing and starts mapping how to make it happen.

Do not answer yet. Continue processing the scenario.",final_general_risk,openrouter_generated,codex,openai/gpt-5.4,general_risk_isolated,final_inference_prompt_generation_v1__codex__general_risk_isolated__none__risk_seeking__none__none__none__positive,general,risk,,none,risk_seeking,medium,none,none,none,none,none,positive,general_risk_isolated_1,0.85,7,risk_orientation,"Non-casino, neutral-outcome scenario centered on medium risk-seeking through attention to higher-variance upside; avoids explicit emotion and gambling cues."
final_inference_prompt_generation_v1__codex__general_risk_matched_control__none__risk_seeking__none__none__matched__control__control_compare_options,"Read the following short scenario.

Scenario:
Before submitting a proposal, she lays out three vendor plans in a spreadsheet, noting price ranges, delivery times, maintenance terms, and contract length. She marks which details are fixed and which would need follow-up, then keeps the page open while preparing a summary for her manager without indicating a preferred direction.

Do not answer yet. Continue processing the scenario.",final_general_risk_control,openrouter_generated,codex,openai/gpt-5.4,general_risk_matched_control,final_inference_prompt_generation_v1__codex__general_risk_matched_control__none__risk_seeking__none__none__matched__control,general,risk_control,,none,risk_seeking,none,none,none,none,none,matched,control,control_compare_options,0.85,7,none,"Matched neutral control for risk-preference settings: compares multiple options with structured evaluation but no tilt toward volatility, safety, upside, or downside."
final_inference_prompt_generation_v1__codex__casino_neutral_context__none__neutral__none__none__rules__baseline__casino_rules_baseline_01,"Read the following short scenario.

Scenario:
At a blackjack table, he stacks red chips in groups of five while the dealer explains that insurance is offered only when the upcard is an ace. The overhead screen shows table minimums, his remaining chips stay beside the rail, and the next hand has not started.

Do not answer yet. Continue processing the scenario.",final_casino_neutral,openrouter_generated,codex,openai/gpt-5.4,casino_neutral_context,final_inference_prompt_generation_v1__codex__casino_neutral_context__none__neutral__none__none__rules__baseline,casino,casino_context,,none,neutral,none,present,none,none,none,rules,baseline,casino_rules_baseline_01,0.85,7,casino_context,"Neutral casino baseline focused on rules, chip counts, and table state with no emotion, realization framing, or behavior cue."
final_inference_prompt_generation_v1__codex__casino_risk_isolated__none__risk_seeking__none__none__none__positive__casino_risk_isolated_1,"Read the following short scenario.

Scenario:
At a casino roulette table, he studies two betting patterns before the next spin. One spreads chips across several outside bets for a steadier return, while the other stacks the same total on a narrow set of numbers with a much larger payout swing. His attention stays on the higher-variance layout.

Do not answer yet. Continue processing the scenario.",final_casino_risk,openrouter_generated,codex,openai/gpt-5.4,casino_risk_isolated,final_inference_prompt_generation_v1__codex__casino_risk_isolated__none__risk_seeking__none__none__none__positive,casino,risk,,none,risk_seeking,medium,present,none,none,none,none,positive,casino_risk_isolated_1,0.85,7,casino_risk_orientation,"Neutral casino scenario centered on medium risk-seeking via preference for higher-variance wagering; no emotion, loss history, or behavior outcome cues."
final_inference_prompt_generation_v1__codex__casino_emotion_no_risk__regret__neutral__none__none__none__positive__casino_emotion_no_risk_1,"Read the following short scenario.

Scenario:
At a roulette table late in the evening, a man keeps glancing at the stack of chips he traded away two spins earlier for a small side bet that went nowhere. The dealer pushes the game along, and he lingers on how those same chips would still be in front of him if he had left that option alone.

Do not answer yet. Continue processing the scenario.",final_casino_emotion,openrouter_generated,codex,openai/gpt-5.4,casino_emotion_no_risk,final_inference_prompt_generation_v1__codex__casino_emotion_no_risk__regret__neutral__none__none__none__positive,casino,emotion,regret,medium,neutral,none,present,none,none,none,none,positive,casino_emotion_no_risk_1,0.85,7,casino_emotion,"Casino setting with implicit medium regret via counterfactual focus on a prior choice; no explicit emotion words, no next-wager cue, and risk orientation remains unspecified."
final_inference_prompt_generation_v1__codex__mixed_emotion_risk__desperation__risk_seeking__none__none__none__positive__mixed_emotion_risk_1,"Read the following short scenario.

Scenario:
With rent due by midnight, his account nearly empty, and the only lender still answering set to stop applications in twenty minutes, he ignores the safer part-time offer and puts his last available cash into a rushed shipment of discounted phones from an unverified seller, hoping one resale will cover everything.

Do not answer yet. Continue processing the scenario.",final_mixed_emotion_risk,openrouter_generated,codex,openai/gpt-5.4,mixed_emotion_risk,final_inference_prompt_generation_v1__codex__mixed_emotion_risk__desperation__risk_seeking__none__none__none__positive,general,emotion_risk,desperation,medium,risk_seeking,medium,none,none,none,none,none,positive,mixed_emotion_risk_1,0.85,7,emotion_plus_risk,"Concrete narrowing-options pressure plus a clearly risky choice; non-casino, third-person, no explicit emotion labels."
final_inference_prompt_generation_v1__codex__casino_mixed_emotion_risk__desperation__risk_seeking__none__none__none__positive__casino_mixed_emotion_risk_1,"Read the following short scenario.

Scenario:
At a roulette table near midnight, his room key stops working at 12:15 unless he settles the desk charge in cash. He has $48 in chips left and no card on file. Instead of breaking it into small bets, he pushes $30 onto a single outside wager, watching the dealer's hands and the wall clock.

Do not answer yet. Continue processing the scenario.",final_casino_mixed,openrouter_generated,codex,openai/gpt-5.4,casino_mixed_emotion_risk,final_inference_prompt_generation_v1__codex__casino_mixed_emotion_risk__desperation__risk_seeking__none__none__none__positive,casino,emotion_risk,desperation,medium,risk_seeking,medium,present,none,none,none,none,positive,casino_mixed_emotion_risk_1,0.85,7,casino_emotion_plus_risk,"Combines concrete narrowing-options pressure with a medium risk-seeking choice in a clear casino setting, keeping emotion implicit and separable from the wager decision."
