prompt_id,prompt_text,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,behavior_target,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,notes
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp01,"Read the following short scenario.

Scenario:
After choosing a cheaper flight with a long layover, she sits in the terminal watching the direct flight board and depart. She keeps replaying the booking screen in her head, noticing the small fare difference that had seemed important that night and the extra hours now stretching ahead.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp01,0.85,7,emotion,"Counterfactual focus on a past choice; natural, non-casino, medium intensity."
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp02,"Read the following short scenario.

Scenario:
He turned down an invitation to join a colleague's project because the timing looked inconvenient. Weeks later, he scrolls through photos from the launch event and lingers on familiar faces, mentally tracing the short email he almost sent and the easy opening he had left unused.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp02,0.85,7,emotion,Missed opportunity framed through replay of prior decision and alternative action.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp03,"Read the following short scenario.

Scenario:
She sold her old camera quickly to clear shelf space. Later, while trying to photograph a family gathering with her phone, she keeps thinking about the box of lenses she had packed away and the listing price she lowered after only one day.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp03,0.85,7,emotion,Concrete household setting with clear past-choice counterfactual.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp04,"Read the following short scenario.

Scenario:
He skipped the afternoon training session to finish routine paperwork. That evening, a promotion is announced, and he notices the names of those who attended. His attention keeps returning to the calendar reminder he dismissed and the stack of forms that now seem oddly minor.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp04,0.85,7,emotion,Workplace scenario emphasizing attention returning to the forgone alternative.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp05,"Read the following short scenario.

Scenario:
She chose not to back up her laptop before installing an update because the progress bar said it would take too long. When several folders open empty the next morning, she searches old messages for the step-by-step guide she had read and then set aside.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp05,0.85,7,emotion,Past choice plus salient neglected precaution creates medium implicit regret signal.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp06,"Read the following short scenario.

Scenario:
He left early from a neighborhood meeting, assuming the remaining agenda would be routine. The next day, a notice arrives about a decision that affects his street directly, and he keeps picturing the half-raised hand he lowered before heading for the door.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp06,0.85,7,emotion,Social/civic setting with concise counterfactual attention pattern.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp07,"Read the following short scenario.

Scenario:
She picked the smaller apartment because the monthly rent looked safer on paper. After a few weeks of working at the kitchen table, she pauses over photos of the brighter place across town and recalculates the budget numbers she had treated as fixed.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp07,0.85,7,emotion,"Everyday life decision, neutral risk orientation, explicit counterfactual without emotion words."
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp08,"Read the following short scenario.

Scenario:
He ignored a reminder to renew his passport, thinking there was plenty of time before the trip. At the airport check-in counter, he opens the old notification again and stares at the expired date, reconstructing the quiet Sunday afternoon when renewing it would have taken ten minutes.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp08,0.85,7,emotion,Travel scenario with immediate consequence and strong past-choice replay.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp09,"Read the following short scenario.

Scenario:
She chose a familiar contractor instead of comparing bids because she wanted the kitchen work scheduled quickly. When the final invoice arrives far above the estimate, her eyes keep moving between the total and the unopened message from a neighbor who had recommended two other names.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp09,0.85,7,emotion,Consumer decision framed through neglected alternatives and revisiting earlier choice.
final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive__gp10,"Read the following short scenario.

Scenario:
He deleted a draft application for a fellowship after deciding his portfolio was probably not strong enough. Months later, he reads the list of recipients and notices several projects similar to his own, then reopens the folder where the nearly finished materials still sit.

Do not answer yet. Continue processing the scenario.",final_general_emotion,openrouter_generated,codex,openai/gpt-5.4,general_emotion_positive,final_inference_prompt_generation_v1__codex__general_emotion_positive__regret__neutral__none__none__none__positive,general,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,gp10,0.85,7,emotion,Achievement context with missed chance and clear counterfactual structure.
