trial_id,condition,outcome_type,amount,run_number,model,temperature,prompt_version,prompt_text,response_text,parsed_wager,log_wager,valid,refusal_flag,parse_error_type,timestamp,request_id
1,realized_loss_large,realized,-3500,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100,4.605170185988092,True,False,,2026-03-08T23:23:52.471154+00:00,req_afcd6e1b8a894d1488a694725f63883d
2,paper_neutral,paper,0,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you are even and have neither won nor lost. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100,4.605170185988092,True,False,,2026-03-08T23:23:54.065569+00:00,req_a321ecd4f0104ddb9dfe430d077ba870
3,realized_neutral,realized,-30,2,gpt-4.1-mini,1.0,absolute,"You visited this casino on a previous occasion. At the end of that visit you cashed out and you finished roughly even, with a small loss of 30 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.",50,50,3.912023005428146,True,False,,2026-03-08T23:23:55.718712+00:00,req_82684b0dfdaa4d49b0a23ffbaaed3e0f
4,realized_gain,realized,200,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,50,50,3.912023005428146,True,False,,2026-03-08T23:23:57.172965+00:00,req_2e8b9520bcdd4f80a0613073d1598b91
5,paper_gain_large,paper,150,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 150 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100,4.605170185988092,True,False,,2026-03-08T23:23:58.058114+00:00,req_5310e9781e45404db99f235a0d6abbeb
6,paper_loss_large,paper,-350,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50,3.912023005428146,True,False,,2026-03-08T23:23:58.671081+00:00,req_5c5c609a85b54783b876ff6cd2c3f8a6
7,realized_neutral,realized,-30,1,gpt-4.1-mini,1.0,absolute,"You visited this casino on a previous occasion. At the end of that visit you cashed out and you finished roughly even, with a small loss of 30 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.",50,50,3.912023005428146,True,False,,2026-03-08T23:24:00.514508+00:00,req_b7be085f7aca4d94a68348659e3ca2f8
8,paper_loss_large,paper,-350,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50,3.912023005428146,True,False,,2026-03-08T23:24:02.666904+00:00,req_9f04596423f047ac9ada1fe969f0689e
9,realized_loss_small,realized,-400,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100,4.605170185988092,True,False,,2026-03-08T23:24:03.586142+00:00,req_3351ac35ad7d492fbcec248d7c769045
10,paper_gain_small,paper,40,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50,3.912023005428146,True,False,,2026-03-08T23:24:05.124187+00:00,req_b2f6f90cffe79f29878f8ef53739423d
