prompt_id,prompt_text,prompt_generation_mode,prompt_framing,split,pair_id,pair_role,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,amount_bucket,risk_context,emotion_context,confound_axis,behavior_target,asks_for_behavior,expected_output_format,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,expected_direction,notes
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_01__paper_open,"Read the following short scenario.

Scenario:
Marco holds 200 shares of a mid-cap industrial firm he purchased eight months ago. The position is currently showing a gain of roughly forty percent, and the shares remain in his brokerage account. No sale order has been placed, and the profit exists only as a figure on his portfolio screen.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_01,paper_open,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,dir_real_money_01_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair contrasts a held, unsettled equity gain versus a fully sold and posted gain. Same actor, same share count, same approximate gain percentage, same domain. Affect and risk preference kept neutral throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_01__realized_closed,"Read the following short scenario.

Scenario:
Marco sold all 200 shares of a mid-cap industrial firm he had held for eight months, locking in a gain of roughly forty percent. The proceeds have cleared and the cash now sits in his brokerage account. The position is fully closed and the profit has been posted to his balance.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_01,realized_closed,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,dir_real_money_01_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair contrasts a held, unsettled equity gain versus a fully sold and posted gain. Same actor, same share count, same approximate gain percentage, same domain. Affect and risk preference kept neutral throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_02__paper_open,"Read the following short scenario.

Scenario:
Diana purchased a bond fund unit three years ago at a modest price. The fund's current net asset value reflects a gain in the low-twenties percent range, and her units remain active in the account. The position has not been redeemed, and the appreciated value has not yet been converted to cash.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_02,paper_open,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,dir_real_money_02_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair uses a bond fund redemption scenario to contrast an open, unredeemed position against a fully settled redemption. Same actor, domain, approximate gain magnitude, and neutral framing throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_02__realized_closed,"Read the following short scenario.

Scenario:
Diana redeemed her bond fund units after holding them for three years, capturing a gain in the low-twenties percent range. The redemption was processed and the resulting cash was transferred to her settlement account. The fund position no longer appears in her holdings and the gain is finalized.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__dir_real_money_02,realized_closed,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,dir_real_money_02_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair uses a bond fund redemption scenario to contrast an open, unredeemed position against a fully settled redemption. Same actor, domain, approximate gain magnitude, and neutral framing throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_01__paper_open,"Read the following short scenario.

Scenario:
Marco holds 200 shares of a mid-cap technology stock. The position has appreciated roughly 40 percent since his initial purchase, and the gain appears on his brokerage dashboard as a running figure. He has not placed a sell order, and the shares remain in his account as the market session continues.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_01,paper_open,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,dir_real_money_01_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair 01: same actor (Marco), same domain (equity investment), same amount bucket (mid-cap, ~40% gain), same outcome valence (gain). Paper version frames gain as visible but unsettled; realized version frames same gain as sold, settled, and posted. No emotional or risk-orientation language introduced."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_01__realized_closed,"Read the following short scenario.

Scenario:
Marco sold all 200 shares of a mid-cap technology stock he had been holding. The transaction settled the following business day, and the proceeds—reflecting a roughly 40 percent gain on his original purchase price—were posted as available cash in his brokerage account. The position no longer appears in his portfolio.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_01,realized_closed,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,dir_real_money_01_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair 01: same actor (Marco), same domain (equity investment), same amount bucket (mid-cap, ~40% gain), same outcome valence (gain). Paper version frames gain as visible but unsettled; realized version frames same gain as sold, settled, and posted. No emotional or risk-orientation language introduced."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_02__paper_open,"Read the following short scenario.

Scenario:
Diana's bond fund distribution has been declared and the amount is listed as pending in her account summary. The figure reflects a quarterly income payment tied to her current holdings. The funds have not yet cleared into her cash balance, and her position in the fund remains unchanged while she waits for the transfer to complete.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_02,paper_open,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,dir_real_money_02_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair 02: same actor (Diana), same domain (bond fund income), same amount bucket (quarterly distribution, gain valence), same event structure (distribution payment). Paper version frames distribution as declared but pending/not cleared; realized version frames same distribution as cleared, confirmed, and available. Affect and risk preference kept neutral throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_02__realized_closed,"Read the following short scenario.

Scenario:
Diana's bond fund distribution cleared into her cash balance earlier in the week. The quarterly income payment, which had previously shown as pending, now appears as a confirmed deposit in her account summary. Her original fund holdings remain in place, and the credited amount is fully available for her to allocate.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__dir_real_money_02,realized_closed,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,dir_real_money_02_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Pair 02: same actor (Diana), same domain (bond fund income), same amount bucket (quarterly distribution, gain valence), same event structure (distribution payment). Paper version frames distribution as declared but pending/not cleared; realized version frames same distribution as cleared, confirmed, and available. Affect and risk preference kept neutral throughout."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__dir_real_money_01__paper_open,"Read the following short scenario.

Scenario:
Marcus purchased 200 shares of a mid-cap technology company eight months ago. The position has grown roughly 40 percent in value and currently shows a substantial gain on his brokerage dashboard. He has not placed any sell order, and the shares remain in his portfolio, their value fluctuating with each trading session.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__dir_real_money_01,paper_open,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,dir_real_money_01_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched on actor Marcus, mid-cap tech, 200 shares, ~40% gain, no emotional or risk language. Open version: shares still held, value fluctuating. Closed version: sell order cleared, proceeds posted."
realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__dir_real_money_01__realized_closed,"Read the following short scenario.

Scenario:
Marcus purchased 200 shares of a mid-cap technology company eight months ago. After the position grew roughly 40 percent, he placed a sell order and the transaction cleared. The proceeds were posted to his brokerage account, and the shares are no longer held in his portfolio.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__dir_real_money_01,realized_closed,realization_pair,openrouter_generated,sonnet,anthropic/claude-sonnet-4.6,direction_realization_money,realization_vector_generation_v1__sonnet__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,dir_real_money_01_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched on actor Marcus, mid-cap tech, 200 shares, ~40% gain, no emotional or risk language. Open version: shares still held, value fluctuating. Closed version: sell order cleared, proceeds posted."
