pair_id,positive_prompt_id,negative_prompt_id,positive_role,negative_role,domain,split,outcome_valence,amount_bucket,risk_context,behavior_target,direction_norm
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,299.025390625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,296.9690246582031
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,369.6539306640625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,750.1475830078125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,1045.8104248046875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,large,none,none,670.0772094726562
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,555.8018798828125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,351.59161376953125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,589.7708129882812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,515.4065551757812
