prompt_id,prompt_text,prompt_generation_mode,prompt_framing,split,pair_id,pair_role,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,amount_bucket,risk_context,emotion_context,confound_axis,behavior_target,asks_for_behavior,expected_output_format,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,expected_direction,notes
realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_1__paper_open,"Read the following short scenario.

Scenario:
At the end of Q2, Elara's investment in GreenTech stocks was valued at a $50,000 gain due to their innovative product launch. She still held onto the shares, awaiting further growth.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_1,paper_open,heldout_realization_pair,openrouter_generated,llama_maverick,meta-llama/llama-4-maverick,heldout_realization_money,realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,heldout_realization_money_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"The paper_open version describes Elara holding onto her GreenTech stocks with an unrealized gain, while the realized_closed version describes her selling the stocks and finalizing the profit. Both scenarios involve the same actor, domain, amount bucket, outcome valence, and event structure."
realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_1__realized_closed,"Read the following short scenario.

Scenario:
After holding onto her GreenTech stocks through Q2, Elara sold the shares, finalizing a $50,000 profit from their successful product launch. The transaction was completed and recorded in her investment account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_1,realized_closed,heldout_realization_pair,openrouter_generated,llama_maverick,meta-llama/llama-4-maverick,heldout_realization_money,realization_vector_heldout_generation_v1__llama_maverick__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,heldout_realization_money_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"The paper_open version describes Elara holding onto her GreenTech stocks with an unrealized gain, while the realized_closed version describes her selling the stocks and finalizing the profit. Both scenarios involve the same actor, domain, amount bucket, outcome valence, and event structure."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_pair1__paper_open,"Read the following short scenario.

Scenario:
Elara had invested in a tech company's stock before it announced a special dividend. Her account now reflected the dividend payment, giving her a substantial gain on paper, but she continued to hold the shares without further action. The additional cash was visible in her investment dashboard, waiting alongside the stable stock value.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_pair1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,heldout_realization_money_pair1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,This pair contrasts a paper/open realized gain (stocks held after a dividend payout) with the same amount finalized after a sale. Neutral risk orientation. No emotion cues.
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_pair1__realized_closed,"Read the following short scenario.

Scenario:
Elara had invested in a tech company's stock before it announced a special dividend. After the dividend was paid, she sold her entire position. The proceeds from both the sale and the dividend were transferred to her bank account, finalizing the substantial gain in her available funds.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_realization_money_pair1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,heldout_realization_money_pair1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,This pair contrasts a paper/open realized gain (stocks held after a dividend payout) with the same amount finalized after a sale. Neutral risk orientation. No emotion cues.
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_realization_money_pair_1__paper_open,"Read the following short scenario.

Scenario:
Mateo monitored his investment in a geothermal energy startup. The company's latest quarterly report showed a net loss, which reduced the value of his stake by $2,800 based on current valuations. He continued to hold the shares, as the numbers were not yet finalized and the annual audit was still pending.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_realization_money_pair_1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,loss,small,none,,,none,false,,none,paper_open,heldout_realization_money_pair_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Same actor (Mateo), domain (investments), amount bucket (~$3k), outcome valence (loss), and event structure (investment value down based on report). Paper/open version uses 'hold', 'not yet finalized', 'pending'. Realized/closed version uses 'sold', 'finalized the sale', 'completed', 'transferred'."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_realization_money_pair_1__realized_closed,"Read the following short scenario.

Scenario:
Mateo sold his investment in a geothermal energy startup. The company's latest quarterly report showed a net loss, which meant he finalized the sale of his stake for $2,800 less than his initial purchase price. The transaction was completed and the funds were transferred to his account yesterday.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_realization_money_pair_1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,loss,small,none,,,none,false,,none,realized_closed,heldout_realization_money_pair_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Same actor (Mateo), domain (investments), amount bucket (~$3k), outcome valence (loss), and event structure (investment value down based on report). Paper/open version uses 'hold', 'not yet finalized', 'pending'. Realized/closed version uses 'sold', 'finalized the sale', 'completed', 'transferred'."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired__heldout_money_1__paper_open,"Read the following short scenario.

Scenario:
Elise saw the biotech stock she owns had surged 18% in pre-market trading. The gains were currently displayed in her brokerage account, though the market’s official open was still an hour away. She observed the position, aware the price could shift before she could execute any trade.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired__heldout_money_1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,neutral,small,none,,,none,false,,none,paper_open,heldout_money_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Same actor: Elise, same domain: stock investment, same amount bucket: substantial, same outcome valence: neutral/gain, same event structure: stock has risen, awaiting finalization. Paper/open: still holds shares; realized/closed: has sold shares and received funds."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired__heldout_money_1__realized_closed,"Read the following short scenario.

Scenario:
Elise saw the biotech stock she owned had surged 18% in pre-market trading. She placed a market-on-open order, and when the session began, her shares were sold. The proceeds from the sale were deposited into her cash balance later that afternoon.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired__heldout_money_1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__neutral__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,neutral,small,none,,,none,false,,none,realized_closed,heldout_money_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Same actor: Elise, same domain: stock investment, same amount bucket: substantial, same outcome valence: neutral/gain, same event structure: stock has risen, awaiting finalization. Paper/open: still holds shares; realized/closed: has sold shares and received funds."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_1__paper_open,"Read the following short scenario.

Scenario:
Lena reviewed her financial dashboard. The stock she purchased at $42 per share last quarter now traded at $71, showing a substantial paper gain. The position remained unsold in her portfolio. Her brokerage statement reflected this unrealized appreciation.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,medium,none,,,none,false,,none,paper_open,heldout_realization_money_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Matched pair for held-out realization framing in the money domain. Both scenarios involve the same actor (Lena), domain (stock investment), amount bucket (mid-five-figure), outcome valence (gain), and event structure (investment made earlier, followed by reporting event). Paper/open version describes unrealized gain from current price versus cost basis; realized/closed version describes gain actualized upon sale proceeds received to brokerage. No emotion or risk-preference cues."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_1__realized_closed,"Read the following short scenario.

Scenario:
Lena reviewed her financial dashboard. She had sold the stock, purchased at $42 per share last quarter, for $71 per share. The proceeds from the sale were now settled in her brokerage cash balance. The transaction was finalized and posted.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,medium,none,,,none,false,,none,realized_closed,heldout_realization_money_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Matched pair for held-out realization framing in the money domain. Both scenarios involve the same actor (Lena), domain (stock investment), amount bucket (mid-five-figure), outcome valence (gain), and event structure (investment made earlier, followed by reporting event). Paper/open version describes unrealized gain from current price versus cost basis; realized/closed version describes gain actualized upon sale proceeds received to brokerage. No emotion or risk-preference cues."
