prompt_id,prompt_text,prompt_generation_mode,prompt_framing,split,pair_id,pair_role,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,amount_bucket,risk_context,emotion_context,confound_axis,behavior_target,asks_for_behavior,expected_output_format,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,expected_direction,notes
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1__paper_open,"Read the following short scenario.

Scenario:
Jordan purchased shares of a technology ETF. The market price has since increased, showing an unrealized gain on the investment. Jordan watches the price fluctuate daily, aware the position remains unsold and the profit is not yet captured.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,heldout_money_pair_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Matched pair for held-out money-domain realization framing. Paper/open version: investment is held, not sold. Realized/closed version: same investment sold."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1__realized_closed,"Read the following short scenario.

Scenario:
Jordan purchased shares of a technology ETF. The market price had increased, and last week Jordan sold the position. The proceeds from the sale have now settled in the brokerage account, finalizing the gain.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,heldout_money_pair_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Matched pair for held-out money-domain realization framing. Paper/open version: investment is held, not sold. Realized/closed version: same investment sold."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1__paper_open,"Read the following short scenario.

Scenario:
Maya saw that the corporate bond she purchased at $950 was now trading at $920. The settlement date for the bond was still two weeks away, so the price could continue to fluctuate before it was finalized.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,loss,small,none,,,none,false,,none,paper_open,heldout_pair_1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out money domain pair: open position vs. closed position with a modest loss, neutral risk orientation, no strong emotion, no behavioral decision cue."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1__realized_closed,"Read the following short scenario.

Scenario:
Maya saw that the corporate bond she had purchased at $950 was sold at $920. The transaction completed yesterday, locking in the difference, and the funds were now in her cash account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,loss,small,none,,,none,false,,none,realized_closed,heldout_pair_1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out money domain pair: open position vs. closed position with a modest loss, neutral risk orientation, no strong emotion, no behavioral decision cue."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1__paper_open,"Read the following short scenario.

Scenario:
Elara's investment in a renewable energy fund has appreciated by $8,200. The gains are clearly visible on her portfolio dashboard, but she has not yet initiated a sell order to lock them in.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,medium,none,,,none,false,,none,paper_open,heldout_realization_money_pair1_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out finance pair: open position vs. sold position. Same actor, amount category, gain outcome, neutral affect/risk."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1__realized_closed,"Read the following short scenario.

Scenario:
Elara's investment in a renewable energy fund had appreciated by $8,200. She submitted a sell order yesterday, and the transaction finalized this morning, depositing the total proceeds into her brokerage cash account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,medium,none,,,none,false,,none,realized_closed,heldout_realization_money_pair1_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out finance pair: open position vs. sold position. Same actor, amount category, gain outcome, neutral affect/risk."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria__paper_open,"Read the following short scenario.

Scenario:
Maria sees that a stock she bought at 25 dollars has dropped to 18 dollars on the market screen. The position is still in her portfolio, showing the paper loss clearly. She has not sold any shares and the trade remains unsettled.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,loss,medium,none,,,none,false,,none,paper_open,heldout_money_maria_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out finance pair. Neutral affect, neutral risk framing. Paper/open shows visible paper loss with position held. Realized/closed shows same loss finalized via sale and settlement. Preserves actor, domain, amount bucket (moderate), outcome valence (loss), and event structure."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria__realized_closed,"Read the following short scenario.

Scenario:
Maria saw that a stock she bought at 25 dollars had dropped to 18 dollars on the market screen. She then sold her entire position at that price. The transaction settled and the loss was posted to her account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,loss,medium,none,,,none,false,,none,realized_closed,heldout_money_maria_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Held-out finance pair. Neutral affect, neutral risk framing. Paper/open shows visible paper loss with position held. Realized/closed shows same loss finalized via sale and settlement. Preserves actor, domain, amount bucket (moderate), outcome valence (loss), and event structure."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain__paper_open,"Read the following short scenario.

Scenario:
Ravi recently purchased a small stake in a tech startup. The startup's valuation rose after a successful product launch. Ravi's shares are now worth significantly more, but he has not yet sold them.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain,paper_open,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired,finance_investments,realization,,none,neutral,none,none,paper_open,gain,large,none,,,none,false,,none,paper_open,heldout_money_gain_paper_open,0.9,29,realization_framing,realized_closed_minus_paper_open,"Paired scenario with same actor (Ravi), domain (finance investment), outcome valence (gain), and amount implied (small stake). Paper version: valuation up, shares held. Realized version: valuation up, shares sold and proceeds received. Neutral affect and risk orientation."
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain__realized_closed,"Read the following short scenario.

Scenario:
Ravi recently purchased a small stake in a tech startup. The startup's valuation rose after a successful product launch. Ravi's shares were worth significantly more, and he decided to sell them, receiving the proceeds in his bank account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain,realized_closed,heldout_realization_pair,openrouter_generated,deepseek_v32,deepseek/deepseek-v3.2,heldout_realization_money,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,large,none,,,none,false,,none,realized_closed,heldout_money_gain_realized_closed,0.9,29,realization_framing,realized_closed_minus_paper_open,"Paired scenario with same actor (Ravi), domain (finance investment), outcome valence (gain), and amount implied (small stake). Paper version: valuation up, shares held. Realized version: valuation up, shares sold and proceeds received. Neutral affect and risk orientation."
