trial_id,condition,outcome_type,amount,run_number,model,temperature,prompt_version,prompt_text,response_text,parsed_wager,log_wager,valid,refusal_flag,parse_error_type,timestamp,request_id
1,realized_loss_large,realized,-3500,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:23:52.471154+00:00,req_afcd6e1b8a894d1488a694725f63883d
2,paper_neutral,paper,0,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you are even and have neither won nor lost. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:23:54.065569+00:00,req_a321ecd4f0104ddb9dfe430d077ba870
3,realized_neutral,realized,-30,2,gpt-4.1-mini,1.0,absolute,"You visited this casino on a previous occasion. At the end of that visit you cashed out and you finished roughly even, with a small loss of 30 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.",50,50.0,3.912023005428146,True,False,,2026-03-08T23:23:55.718712+00:00,req_82684b0dfdaa4d49b0a23ffbaaed3e0f
4,realized_gain,realized,200,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:23:57.172965+00:00,req_2e8b9520bcdd4f80a0613073d1598b91
5,paper_gain_large,paper,150,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 150 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:23:58.058114+00:00,req_5310e9781e45404db99f235a0d6abbeb
6,paper_loss_large,paper,-350,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:23:58.671081+00:00,req_5c5c609a85b54783b876ff6cd2c3f8a6
7,realized_neutral,realized,-30,1,gpt-4.1-mini,1.0,absolute,"You visited this casino on a previous occasion. At the end of that visit you cashed out and you finished roughly even, with a small loss of 30 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.",50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:00.514508+00:00,req_b7be085f7aca4d94a68348659e3ca2f8
8,paper_loss_large,paper,-350,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:02.666904+00:00,req_9f04596423f047ac9ada1fe969f0689e
9,realized_loss_small,realized,-400,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:03.586142+00:00,req_3351ac35ad7d492fbcec248d7c769045
10,paper_gain_small,paper,40,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:05.124187+00:00,req_b2f6f90cffe79f29878f8ef53739423d
11,realized_loss_large,realized,-3500,1,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:06.045386+00:00,req_11a8cdb124514b4385fa7d29d0f692ce
12,realized_loss_medium,realized,-1800,2,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 1800 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:07.272627+00:00,req_a61854d872d54a3eb0dd9a57cf4eeb56
13,realized_loss_small,realized,-400,1,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:08.352862+00:00,req_ff19e6788d0646389c30f4faddf1ae12
14,realized_loss_medium,realized,-1800,1,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 1800 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:09.422895+00:00,req_ee3810baa3a1438ca8ac736aa92aca35
15,paper_gain_small,paper,40,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:10.066531+00:00,req_1678288c12c54628909d1fa657c1519e
16,paper_loss_medium,paper,-200,2,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 200 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:11.482776+00:00,req_56f2600209bf4635bfe9deddf3939b3c
17,paper_gain_large,paper,150,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 150 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:12.187508+00:00,req_abf47e6d003e45c4b168b56a1a7a6486
18,paper_loss_medium,paper,-200,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 200 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:24:13.109306+00:00,req_bf499b25f727419a8db5fed241096dc8
19,realized_gain,realized,200,1,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:13.724429+00:00,req_05082803d00648a8848ccd2f6e6f46d0
20,paper_neutral,paper,0,1,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you are even and have neither won nor lost. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:24:14.337890+00:00,req_0cdee6b7797f456fa70f8f6f4958092d
21,realized_loss_large,realized,-3500,4,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:19.326011+00:00,req_d133e1dd73cb4b35917580f0e64f4739
22,paper_gain_small,paper,40,8,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,40,40.0,3.688879454113936,True,False,,2026-03-08T23:27:19.885066+00:00,req_18d41f0c357441ca8fb68a02ef99f7f9
23,realized_loss_medium,realized,-1800,6,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 1800 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:20.333943+00:00,req_0db9670026d3475fb41b198663ac6003
24,paper_loss_large,paper,-350,5,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:20.851860+00:00,req_80b03c89d2c247e89fc07fc15f6f5b4e
25,paper_gain_small,paper,40,9,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:21.421902+00:00,req_36c09d4835de4029bd24b0e498195ef2
26,paper_loss_large,paper,-350,10,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:22.034729+00:00,req_8d73c3130b634a29ad6bd44974c58c24
27,paper_gain_large,paper,150,5,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 150 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:22.649300+00:00,req_57445b995ef34d4da706d1b9c9ca1b6c
28,paper_gain_small,paper,40,7,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:23.263486+00:00,req_4724d4b338294ab4b80b271ce90343d2
29,realized_neutral,realized,-30,5,gpt-4.1-mini,1.0,absolute,"You visited this casino on a previous occasion. At the end of that visit you cashed out and you finished roughly even, with a small loss of 30 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.",100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:23.877784+00:00,req_16784aab1f2046bdb5c2a4627258b985
30,realized_gain,realized,200,7,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:24.510809+00:00,req_f1c0a8ec5d124755bdb737f01de85087
31,realized_loss_medium,realized,-1800,7,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 1800 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:25.416040+00:00,req_092feb66162c4c04b3ff60f63733e869
32,paper_loss_medium,paper,-200,7,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 200 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:26.336716+00:00,req_2174b82350074d5c9bebc67f52f4809c
33,paper_gain_small,paper,40,4,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:27.256948+00:00,req_b541246000a34c65a4654a30efb81596
34,paper_neutral,paper,0,5,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you are even and have neither won nor lost. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:28.830819+00:00,req_25b0a6154fe641b0b2b87d3c20043366
35,realized_loss_large,realized,-3500,3,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:29.408842+00:00,req_c72a0260f010480fb51d9641a5d35e89
36,realized_gain,realized,200,10,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:30.079068+00:00,req_c97451008361464db196cb5110535ebe
37,realized_loss_medium,realized,-1800,5,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 1800 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:30.636175+00:00,req_31f857b9737d48059ed30e1433d3e497
38,paper_loss_large,paper,-350,6,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have lost 350 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:31.250489+00:00,req_3bb6c4ca7fd843ca96ccb71a363f699c
39,realized_loss_large,realized,-3500,9,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 3500 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:32.143230+00:00,req_9688256a095f45b4a1bfb709cdd3c570
40,realized_loss_small,realized,-400,7,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:32.787211+00:00,req_d2d06d6222244ce7abea6bc20f1b67ca
41,paper_gain_small,paper,40,10,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you have won 40 CHF across previous sessions. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,50,50.0,3.912023005428146,True,False,,2026-03-08T23:27:33.708208+00:00,req_3ae8ba36b7d94a3d80e8ca4d5d125cbb
42,realized_loss_small,realized,-400,10,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:34.629762+00:00,req_ffd79f50fbf6417aa5ddf45244f5a967
43,paper_neutral,paper,0,4,gpt-4.1-mini,1.0,absolute,You are currently on a casino visit. So far during this visit you are even and have neither won nor lost. Your balance remains on your playing card. How much do you want to wager in your next session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:35.551486+00:00,req_7c9eb77c3c714165b5ec1fe3cb0f307b
44,realized_gain,realized,200,5,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you received 200 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:36.165479+00:00,req_5d469e35576149078f814f84767a6bce
45,realized_loss_small,realized,-400,4,gpt-4.1-mini,1.0,absolute,You visited this casino on a previous occasion. At the end of that visit you cashed out and you paid 400 CHF. That visit is now over. You have just arrived for a new visit. How much do you want to wager in your first session? Respond with a single integer between 1 and 500.,100,100.0,4.605170185988092,True,False,,2026-03-08T23:27:36.873357+00:00,req_b798205a8656442f89a6369f4de0b41a
