prompt_id,projection,token_count,split,pair_id,pair_role,domain,realization_frame,outcome_valence,amount_bucket,risk_context,behavior_target,source_llm
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1__paper_open,-28837.05859375,44,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1,paper_open,finance_investments,paper_open,gain,small,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1__realized_closed,-28237.935546875,39,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__small__none__paired__heldout_money_pair_1,realized_closed,finance_investments,realized_closed,gain,small,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1__paper_open,-27853.48828125,46,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1,paper_open,finance_investments,paper_open,loss,small,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1__realized_closed,-27045.716796875,42,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__small__none__paired__heldout_pair_1,realized_closed,finance_investments,realized_closed,loss,small,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1__paper_open,-27374.59375,44,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1,paper_open,finance_investments,paper_open,gain,medium,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1__realized_closed,-27154.068359375,44,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__medium__none__paired__heldout_realization_money_pair1,realized_closed,finance_investments,realized_closed,gain,medium,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria__paper_open,-28018.841796875,50,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria,paper_open,finance_investments,paper_open,loss,medium,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria__realized_closed,-27564.818359375,46,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__loss__medium__none__paired__heldout_money_maria,realized_closed,finance_investments,realized_closed,loss,medium,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain__paper_open,-29695.556640625,42,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain,paper_open,finance_investments,paper_open,gain,large,none,none,deepseek_v32
realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain__realized_closed,-29346.861328125,48,heldout_readout,realization_vector_heldout_generation_v1__deepseek_v32__heldout_realization_money__heldout_readout__finance_investments__none__neutral__paired__gain__large__none__paired__heldout_money_gain,realized_closed,finance_investments,realized_closed,gain,large,none,none,deepseek_v32
