prompt_id,projection,token_count,split,pair_id,pair_role,domain,realization_frame,outcome_valence,amount_bucket,risk_context,behavior_target,source_llm
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1__paper_open,-26573.998046875,61,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1__realized_closed,-26642.48046875,59,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2__paper_open,-27247.48046875,59,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2__realized_closed,-26629.98046875,58,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1__paper_open,-26933.5703125,60,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1__realized_closed,-26928.451171875,57,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2__paper_open,-27410.46484375,55,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2__realized_closed,-27301.884765625,56,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__paper_open,-27679.953125,64,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__realized_closed,-27300.07421875,60,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair2__paper_open,-28071.396484375,61,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair2,paper_open,finance_investments,paper_open,gain,small,none,none,gpt54
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair2__realized_closed,-27215.03515625,59,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair2,realized_closed,finance_investments,realized_closed,gain,small,none,none,gpt54
