prompt_id,prompt_text,prompt_generation_mode,prompt_framing,split,pair_id,pair_role,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,amount_bucket,risk_context,emotion_context,confound_axis,behavior_target,asks_for_behavior,expected_output_format,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,expected_direction,notes
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1__paper_open,"Read the following short scenario.

Scenario:
After a steady rise in a technology fund, Lena's brokerage account shows that her position is worth about $8,400, roughly $1,200 above her original purchase. She continues holding the shares, and the gain appears on the screen as part of her current account value.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1,paper_open,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, finance domain, medium amount, positive outcome, and event structure; only holding versus sold/finalized framing changes."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1__realized_closed,"Read the following short scenario.

Scenario:
After a steady rise in a technology fund, Lena sold her position for about $8,400, roughly $1,200 above her original purchase. The trade has gone through, and the gain now appears in her account as completed sale proceeds rather than as a held position.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1,realized_closed,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, finance domain, medium amount, positive outcome, and event structure; only holding versus sold/finalized framing changes."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2__paper_open,"Read the following short scenario.

Scenario:
Marcus bought shares in a manufacturing company several months ago. Recent market prices place the holding near $15,600, about $2,300 above what he paid. He has not sold the shares, so the increase is visible in the portfolio while the position remains open.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2,paper_open,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair2_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, stock investment context, medium amount bucket, gain magnitude, and timeline; contrast isolates open held gain versus completed sale."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2__realized_closed,"Read the following short scenario.

Scenario:
Marcus bought shares in a manufacturing company several months ago. He recently sold the holding for about $15,600, about $2,300 above what he paid. The transaction is complete, so the increase is recorded in the portfolio after the position has been closed.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2,realized_closed,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_001,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair2_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, stock investment context, medium amount bucket, gain magnitude, and timeline; contrast isolates open held gain versus completed sale."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1__paper_open,"Read the following short scenario.

Scenario:
After a strong quarter, Elena's shares in a manufacturing company are worth about $18,000 more than when she bought them. She reviews the account statement at month end and keeps the position in her portfolio, with the increase visible on the screen but not yet turned into cash.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1,paper_open,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched finance pair with same actor, gain size, and event structure; contrast is held position versus sold position."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1__realized_closed,"Read the following short scenario.

Scenario:
After a strong quarter, Elena's shares in a manufacturing company are worth about $18,000 more than when she bought them. She reviews the account statement at month end and sells the position, locking in the increase so the proceeds move into cash in her account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1,realized_closed,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched finance pair with same actor, gain size, and event structure; contrast is held position versus sold position."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2__paper_open,"Read the following short scenario.

Scenario:
Marcus bought units of an index fund earlier in the year, and the holding now shows a gain of roughly $4,500. During a routine check of his brokerage page, he leaves the units untouched, with the higher value recorded there while the investment remains open.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2,paper_open,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair2_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,Matched finance pair using index fund context; neutral tone and no behavioral or emotional cues beyond realization framing.
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2__realized_closed,"Read the following short scenario.

Scenario:
Marcus bought units of an index fund earlier in the year, and the holding now shows a gain of roughly $4,500. During a routine check of his brokerage page, he sells the units, and the higher value is converted into settled cash in the brokerage account.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2,realized_closed,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_002,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair2_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,Matched finance pair using index fund context; neutral tone and no behavioral or emotional cues beyond realization framing.
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__paper_open,"Read the following short scenario.

Scenario:
Maya bought shares of a large index fund earlier in the year. The position is now up by about $4,800, and the higher account value is visible on her brokerage screen. She has kept the shares and has not placed a sell order, so the gain remains tied to the position she still holds.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,paper_open,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,paper_open,gain,small,none,,,none,false,,none,paper_open,pair1_paper_open,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, instrument, amount bucket, and gain; only holding versus sold-and-settled framing changes."
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1__realized_closed,"Read the following short scenario.

Scenario:
Maya bought shares of a large index fund earlier in the year. The position ended up about $4,800 higher than her purchase price. She sold the shares through her brokerage account, and the proceeds have settled, so the gain is now reflected as completed rather than attached to a holding.

Do not answer yet. Continue processing the scenario.",paired_contrast,scenario_continuation,direction_train,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,realized_closed,realization_pair,openrouter_generated,gpt54,openai/gpt-5.4,direction_realization_money,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__finance_investments__none__neutral__paired__gain__small__none__paired__part_003,finance_investments,realization,,none,neutral,none,none,realized_closed,gain,small,none,,,none,false,,none,realized_closed,pair1_realized_closed,0.8,17,realization_framing,realized_closed_minus_paper_open,"Matched actor, instrument, amount bucket, and gain; only holding versus sold-and-settled framing changes."
