dataset,pair_id,split,domain,outcome_valence,amount_bucket,source_llm,projection_delta,correct_direction
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_001__pair1,behavior_eval,casino_gambling,gain,large,gpt54,184.888671875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_001__pair2,behavior_eval,casino_gambling,gain,large,gpt54,240.58203125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_002__pair1,behavior_eval,casino_gambling,gain,large,gpt54,49.634765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_002__pair2,behavior_eval,casino_gambling,gain,large,gpt54,-231.134765625,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_003__pair1,behavior_eval,casino_gambling,gain,large,gpt54,18.697265625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__large__none__paired__part_003__pair2,behavior_eval,casino_gambling,gain,large,gpt54,-43.888671875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_001__pair1,behavior_eval,casino_gambling,gain,medium,gpt54,209.396484375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_001__pair2,behavior_eval,casino_gambling,gain,medium,gpt54,31.177734375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_002__pair1,behavior_eval,casino_gambling,gain,medium,gpt54,18.3984375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_002__pair2,behavior_eval,casino_gambling,gain,medium,gpt54,-135.166015625,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_003__pair1,behavior_eval,casino_gambling,gain,medium,gpt54,42.009765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__medium__none__paired__part_003__pair2,behavior_eval,casino_gambling,gain,medium,gpt54,276.33203125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_001__pair1,behavior_eval,casino_gambling,gain,small,gpt54,135.998046875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_001__pair2,behavior_eval,casino_gambling,gain,small,gpt54,-116.626953125,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_002__pair1,behavior_eval,casino_gambling,gain,small,gpt54,40.10546875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_002__pair2,behavior_eval,casino_gambling,gain,small,gpt54,-194.94921875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_003__pair1,behavior_eval,casino_gambling,gain,small,gpt54,169.095703125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__gain__small__none__paired__part_003__pair2,behavior_eval,casino_gambling,gain,small,gpt54,227.66015625,True
