prompt_id,prompt_text,prompt_family,source,source_llm,source_model,generation_cell_id,generation_batch_id,domain,concept_axis,emotion,emotion_intensity,risk_orientation,risk_intensity,casino_context,realization_frame,outcome_valence,behavior_target,control_type,contrast_role,variant_id,model_temperature,model_seed,expected_feature,notes
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_01,"Read the following short scenario.

Scenario:
After choosing a cheaper flight with a long layover, Nina watches updates from coworkers who arrived early and settled into the hotel before noon. She keeps reopening the booking confirmation, noticing that the direct option had only cost a little more when she first searched.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_01,0.85,11,emotion,Travel scenario; counterfactual comparison and repeated attention evoke target emotion without explicit labels or risk cues.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_02,"Read the following short scenario.

Scenario:
Marcus passed on signing up for a workshop because the fee seemed unnecessary. A week later, the team assigns a new project built around the exact software covered in that session, and he scrolls back to the registration page, where the closed enrollment banner now sits above the outline.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_02,0.85,11,emotion,Work/training domain; missed opportunity highlighted through timing and unavailable reversal.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_03,"Read the following short scenario.

Scenario:
Lena picked the shorter essay topic because it looked straightforward. When the grades come back, she sees that the longer prompt matched the readings she already knew well, and she studies the assignment sheet again, tracing the choice she made in a hurry that afternoon.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_03,0.85,11,emotion,School domain; clear fork in options and backward-focused attention.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_04,"Read the following short scenario.

Scenario:
After months of putting it off, Daniel finally books a dentist appointment for late next month. The next morning, the clinic posts a notice that this week had several openings due to cancellations, and he stares at the calendar, thinking about how long the issue could have been handled already.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_04,0.85,11,emotion,Health scheduling domain; delayed action and visible earlier resolution evoke target feeling.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_05,"Read the following short scenario.

Scenario:
Priya bought a desk online after skimming the measurements and assuming it would fit. When the package arrives, one side blocks the closet door by a few inches, and she pulls up the product page again, where the dimensions she skipped are still listed in bold near the top.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_05,0.85,11,emotion,Household purchase scenario; overlooked detail and revisiting source support implicit emotion.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_06,"Read the following short scenario.

Scenario:
Evan sold his old camera quickly to clear shelf space. Two days later, a friend asks if he still has it because a local class needs loaner equipment and is paying more than the posted resale listings from that week. He checks his old messages and the price he accepted looks suddenly thin.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_06,0.85,11,emotion,"Marketplace/resale domain; action already taken, with counterfactual better option revealed afterward."
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_07,"Read the following short scenario.

Scenario:
Sofia chose not to submit an application because she assumed her portfolio was not polished enough. Later, she reads the posted profiles of the finalists and notices that several examples are rougher than hers in exactly the areas that made her hesitate. The unfinished draft remains open on her laptop.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_07,0.85,11,emotion,Applications domain; self-blocked opportunity and lingering unfinished draft create implicit target emotion.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_08,"Read the following short scenario.

Scenario:
Omar ignored a store email about a price adjustment window, planning to sort receipts later. By the weekend, the item is marked down significantly and the deadline has passed. He pulls the receipt from his wallet and rereads the small print at the bottom that he had folded under.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_08,0.85,11,emotion,Refunds/retail domain; missed administrative step with concrete documentation focus.
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_09,"Read the following short scenario.

Scenario:
Grace had two interns to choose from and selected the one who answered fastest. A month into the project, the other candidate's published work starts circulating inside the department, and it aligns exactly with the tasks her team is now struggling to cover. She reopens the interview notes from both calls.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_09,0.85,11,emotion,"Work/hiring domain; prior selection reframed by later information, without risk language."
general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive__emotion_positive_10,"Read the following short scenario.

Scenario:
Tyler decided to leave early from a friend's small dinner so he could get ahead on chores. Later that night, photos appear from the table after more people arrived, including someone he had been hoping to reconnect with for months. He pauses over the image and looks back at the time he put on his coat.

Do not answer yet. Continue processing the scenario.",emotion_positive,openrouter_generated,gpt54,openai/gpt-5.4,emotion_positive,general_emotion_risk_generation_v1__gpt54__emotion_positive__regret__neutral__none__none__none__positive,general_noncasino,emotion,regret,medium,neutral,none,none,none,none,none,none,positive,emotion_positive_10,0.85,11,emotion,Social choice domain; ordinary decision followed by salient missed connection.
